"case_id","split","product_name","reviewer_id","reviewer_experience_years","research_priority","rationale","risk_disclosure_complete","evidence_supported","needs_follow_up","review_notes"
"C001","calibration","折叠式氛围灯","","","","","","","",""
"C002","calibration","可调节抽屉分隔板","","","","","","","",""
"C003","calibration","真空压缩收纳袋","","","","","","","",""
"C004","calibration","旋转化妆品收纳盒","","","","","","","",""
"C005","calibration","床下折叠收纳箱","","","","","","","",""
"C006","calibration","免打孔浴室置物架","","","","","","","",""
"C007","calibration","桌面数据线整理夹","","","","","","","",""
"C008","calibration","可堆叠鞋盒","","","","","","","",""
"C009","calibration","定量喷油瓶","","","","","","","",""
"C010","calibration","手压切菜器","","","","","","","",""
"C011","calibration","硅胶空气炸锅内胆","","","","","","","",""
"C012","calibration","磁吸调料收纳罐","","","","","","","",""
"C013","calibration","折叠沥水篮","","","","","","","",""
"C014","calibration","电动奶泡器","","","","","","","",""
"C015","calibration","可视化密封储粮罐","","","","","","","",""
"C016","calibration","不锈钢切片辅助器","","","","","","","",""
"C017","calibration","宠物蒸汽梳","","","","","","","",""
"C018","calibration","宠物耐咬互动玩具","","","","","","","",""
"C019","calibration","宠物车载安全座椅","","","","","","","",""
"C020","calibration","折叠宠物饮水杯","","","","","","","",""
"C021","calibration","宠物脚掌清洁杯","","","","","","","",""
"C022","calibration","智能逗猫激光球","","","","","","","",""
"C023","calibration","宠物慢食碗","","","","","","","",""
"C024","calibration","宠物除毛滚筒","","","","","","","",""
"C025","calibration","便携化妆刷套装","","","","","","","",""
"C026","calibration","无热卷发带","","","","","","","",""
"C027","calibration","硅胶化妆刷清洁垫","","","","","","","",""
"C028","calibration","便携补光化妆镜","","","","","","","",""
"C029","holdout","可替换睫毛夹","","","","","","","",""
"C030","holdout","多功能美甲打磨笔","","","","","","","",""
"C031","holdout","旅行分装瓶套装","","","","","","","",""
"C032","holdout","头皮按摩梳","","","","","","","",""
"C033","holdout","磁吸露营灯","","","","","","","",""
"C034","holdout","便携折叠水袋","","","","","","","",""
"C035","holdout","多功能露营挂钩","","","","","","","",""
"C036","holdout","充气旅行颈枕","","","","","","","",""
"C037","holdout","车载应急破窗器","","","","","","","",""
"C038","holdout","户外防水收纳袋","","","","","","","",""
"C039","holdout","便携卡式炉挡风板","","","","","","","",""
"C040","holdout","太阳能应急充电灯","","","","","","","",""
